"test","detail","score","delta"
"baseline","20 domains",0.17459193277774,0
"arbitrary split","domain 19 (n=152, purity 1.00)",0.174202286448618,-0.000389646329122084
"arbitrary split","domain 15 (n=642, purity 1.00)",0.174364031568427,-0.000227901209313042
"arbitrary split","domain 11 (n=1213, purity 1.00)",0.174354224127101,-0.00023770865063899
"informative split","domain 9 (n=1423, purity 0.42)",0.174535895308311,-5.60374694287269e-05
"informative split","domain 3 (n=2243, purity 0.62)",0.17500835736547,0.000416424587730613
"informative split","domain 2 (n=2558, purity 0.67)",0.17653168010463,0.00193974732689084
"merge","domains 4 + 5",0.174456798421611,-0.000135134356128774
"merge","domains 4 + 7",0.174235084188743,-0.000356848588996761
"merge","domains 5 + 9",0.171222504811379,-0.00336942796636075
"boundary jitter","10% of boundary bins",0.173462693357502,-0.00112923942023757
"boundary jitter","25% of boundary bins",0.171260581308499,-0.0033313514692408
