"mechanism","ligand","receptor","matched_partner","dom_gap","dom_true","R2_true","switchcoh_true","dom_null","R2_null","switchcoh_null"
"A2M-LRP1","A2m","Lrp1","Kcnj10",0.00138461538461532,0.868384615384615,0.598236732637192,0.966905360944455,0.869769230769231,0.342297600316854,0.969498742016644
"ACE-AGTR2","Ace","Agtr2","Dcbld2",0.000269230769230799,0.989384615384615,0.584024357563872,0.988310431585059,0.989115384615385,0.468194033527965,0.987091155409328
"ACE-BDKRB2","Ace","Bdkrb2","F2rl1",0.0232307692307693,0.706423076923077,0.274511835563199,0.934971937294368,0.729653846153846,0.313736372927505,0.944029417456938
"ADAM10-AXL","Adam10","Axl","Ramp2",0.03,0.718346153846154,0.562976339417041,0.854248113024966,0.688346153846154,0.646408998685187,0.790826398296884
"ADAM10-EPHA3","Adam10","Epha3","Cd9",0.0149615384615385,0.826961538461539,0.499118344358841,0.866440874782272,0.812,0.510904397413583,0.859492935939617
"ADAM12-ITGA9","Adam12","Itga9","Vldlr",0.00253846153846149,0.755346153846154,0.568898227951608,0.871879233597832,0.757884615384615,0.478359955155297,0.880298045287401
"ADAM12-ITGB1","Adam12","Itgb1","Epha8",0.0111923076923077,0.956346153846154,0.83646163789089,0.950996709889685,0.967538461538462,0.719083706544059,0.978459454228759
"ADAM12-SDC4","Adam12","Sdc4","Ptprm",0.001,0.619384615384615,0.429288113884833,0.86257015676408,0.618384615384615,0.508333625201527,0.833404296497
"ADAM15-ITGA5","Adam15","Itga5","Ldlr",0.0125,0.623576923076923,0.341775633030227,0.861234759047803,0.611076923076923,0.309384726586451,0.827424037158893
"ADAM15-ITGA9","Adam15","Itga9","Nt5e",0.00565384615384612,0.943384615384615,0.507757150444263,0.940545771240565,0.949038461538461,0.397155333001357,0.955622217921424
"ADAM15-ITGAV","Adam15","Itgav","Lgr5",0.00653846153846149,0.877423076923077,0.435724659736886,0.894871298625895,0.883961538461538,0.230719192226048,0.936171859880008
"ADAM15-ITGB1","Adam15","Itgb1","Ccrl2",0.00480769230769229,0.992884615384615,0.777600444377449,0.989355525449971,0.997692307692308,0.811803055572305,0.998296884071995
"ADAM15-ITGB3","Adam15","Itgb3","Tfrc",0.00334615384615378,0.871807692307692,0.226475991423804,0.917940778014322,0.868461538461539,0.318240456989505,0.905302883684924
"ADAM17-ERBB4","Adam17","Erbb4","Il1rapl1",0.00107692307692309,0.580538461538462,0.371841017833682,0.847609831623766,0.581615384615385,0.296450567268206,0.848267853686859
"ADAM17-ITGA5","Adam17","Itga5","Lrp5",0.0107307692307692,0.720115384615385,0.383861800072766,0.865782852719179,0.709384615384615,0.385219727410776,0.842268240758661
"ADAM17-ITGB1","Adam17","Itgb1","Vipr1",0.00592307692307692,0.992346153846154,0.892872704762762,0.988020127733695,0.998269230769231,0.774315890776428,0.998413005612541
"ADAM17-NOTCH1","Adam17","Notch1","Aqp1",0.00592307692307703,0.767346153846154,0.474204085367629,0.85190632862396,0.761423076923077,0.411203787536769,0.870234178440101
"ADAM2-CD9","Adam2","Cd9","Mchr1",0.000115384615384517,0.9995,0.999959726466145,0.999264563576543,0.999615384615385,0.869301305283253,0.999496806657635
"ADAM2-ITGA6","Adam2","Itga6","Epha3",0.00276923076923075,0.986269230769231,0.997354436886988,0.989549061350881,0.9835,0.994195383856921,0.986413779756145
"ADAM2-ITGA9","Adam2","Itga9","Cxcr5",0,1,1,1,1,1,1
"ADAM2-ITGB1","Adam2","Itgb1","Ramp2",0,1,1,1,1,1,1
"ADAM23-ITGA5","Adam23","Itga5","Fzd8",0.0167692307692308,0.586961538461538,0.296041487379121,0.8832978517515,0.570192307692308,0.366860459290191,0.874801625701568
"ADAM23-ITGB3","Adam23","Itgb3","Tmem67",0.00388461538461549,0.806076923076923,0.197560518379715,0.905457712405651,0.802192307692308,0.376848390022588,0.893400425778982
"ADAM28-ITGA4","Adam28","Itga4","Kremen1",0.000115384615384628,0.988,0.160375364815191,0.995742210179988,0.988115384615385,0.394394184849201,0.995432552738533
"ADAM9-ITGA3","Adam9","Itga3","Cntfr",0.00138461538461543,0.9295,0.388505122887939,0.943332688213664,0.930884615384615,0.33782559024425,0.945093864911941
"ADAM9-ITGA6","Adam9","Itga6","Dcbld2",0.00338461538461543,0.692115384615385,0.428550145134592,0.814650667698858,0.6955,0.407486091765055,0.816024772595316
"ADAM9-ITGAV","Adam9","Itgav","Sorcs3",0.00303846153846155,0.821423076923077,0.508752686232878,0.857131797948519,0.818384615384615,0.27681191347387,0.921579252951423
"ADAM9-ITGB1","Adam9","Itgb1","Col17a1",0.00119230769230771,0.991269230769231,0.873906971402741,0.986394426166054,0.990076923076923,0.901264874600321,0.990439326495065
"ADAM9-ITGB5","Adam9","Itgb5","Cx3cr1",0.0253461538461539,0.861884615384615,0.551374228065928,0.879601316044126,0.887230769230769,0.377069606997051,0.907373717824656
"ADCYAP1-ADCYAP1R1","Adcyap1","Adcyap1r1","Lrp6",0.00084615384615383,0.983884615384615,0.930362747626167,0.990110315463518,0.984730769230769,0.853652795552316,0.989684536481517
"ADCYAP1-VIPR1","Adcyap1","Vipr1","Cd180",0.0514615384615386,0.632230769230769,0.211692297622279,0.944803561060577,0.683692307692308,0.163328437614596,0.964950648345268
"ADCYAP1-VIPR2","Adcyap1","Vipr2","Marco",0.00257692307692314,0.7935,0.135204090129108,0.968279465840914,0.796076923076923,0.168739775352809,0.979059415521579
"ADM-CALCR","Adm","Calcr","Eda2r",0.0191538461538462,0.864076923076923,0.380748259847009,0.956222179214244,0.844923076923077,0.138782312253603,0.95271917940778
"ADM-CALCRL","Adm","Calcrl","Acvr1",0.000615384615384573,0.984538461538462,0.312509387685865,0.986433133346236,0.985153846153846,0.287363754140209,0.98852332107606
"ADM-GPR182","Adm","Gpr182","Cmklr1",0.0161538461538462,0.876846153846154,0.0889161689655347,0.959841300561254,0.860692307692308,0.0752390938749917,0.95734468743952
"ADM-RAMP2","Adm","Ramp2","Cacna1c",0.00476923076923075,0.998576923076923,0.699632485291701,0.997871105089994,0.993807692307692,0.481765901610614,0.993787497580801
"AGRN-ATP1A3","Agrn","Atp1a3","Grm7",0.0160384615384616,0.885192307692308,0.752321955562032,0.975808012386298,0.869153846153846,0.74521575935331,0.894851945035804
"AGRN-LRP4","Agrn","Lrp4","Sell",0.00384615384615383,0.979384615384615,0.709735871810635,0.974685504161022,0.975538461538462,0.55630272308013,0.990826398296884
"AGRN-MUSK","Agrn","Musk","C3ar1",0.00111538461538452,0.987576923076923,0.790783270049526,0.989413586220244,0.988692307692308,0.557209130892337,0.985523514611961
"AGRP-MC4R","Agrp","Mc4r","Fzd10",0,0.999692307692308,0.952505246592939,0.999496806657635,0.999692307692308,0.804935215235107,0.999458099477453
"AGRP-SDC3","Agrp","Sdc3","Il1rapl1",0.0158076923076924,0.925038461538461,0.785761920961666,0.943893942326302,0.940846153846154,0.576870029189144,0.952041803754596
"AGT-AGTR2","Agt","Agtr2","Axl",0.000115384615384628,0.847423076923077,0.462225986125608,0.990613508805884,0.847307692307692,0.49739169826346,0.981459260692858
"AGT-LRP2","Agt","Lrp2","Plxnb2",0.000500000000000056,0.867076923076923,0.16007523106505,0.949312947551771,0.866576923076923,0.686591692327612,0.981323785562222
"AGT-MAS1","Agt","Mas1","Plaur",0.0276923076923077,0.933461538461538,0.107146212644021,0.968434294561641,0.905769230769231,0.241422042620019,0.963402361137991
"AHSG-INSR","Ahsg","Insr","Pde1c",0.0534230769230768,0.726769230769231,0.302529577269051,0.869556802786917,0.780192307692308,0.205827129204048,0.903657828527192
"ALB-LRP2","Alb","Lrp2","Slc18a3",7.69230769230855e-05,0.999730769230769,0.977289072332316,0.999535513837817,0.999653846153846,0.982745580658645,0.999361331526998
"ALOX5AP-ALOX5","Alox5ap","Alox5","Il7r",0.00373076923076932,0.986461538461539,0.503470088416101,0.992626282175344,0.982730769230769,0.721132188872269,0.99415521579253
"ANGPT1-ITGA5","Angpt1","Itga5","Pde1a",0.0123076923076924,0.507730769230769,0.320033844308731,0.855119024579059,0.520038461538462,0.383583692291819,0.836500870911554
"ANGPT1-ITGB1","Angpt1","Itgb1","Bmpr1a",0.0471923076923076,0.989769230769231,0.810009470558552,0.985252564350687,0.942576923076923,0.545769320921847,0.942771434101026
"ANGPT1-TEK","Angpt1","Tek","Chrna4",0.0146923076923077,0.758692307692308,0.404292613633873,0.865047416295723,0.773384615384615,0.18298597995886,0.926301528933617
"ANGPT1-TIE1","Angpt1","Tie1","Il10rb",0.0012692307692308,0.541192307692308,0.439584376316572,0.866518289142636,0.539923076923077,0.336241279041399,0.854983549448423
"ANGPT2-TEK","Angpt2","Tek","Tspan1",0.000346153846153885,0.940538461538462,0.500383067211562,0.958563963615251,0.940192307692308,0.162253095062152,0.984130056125411
"ANGPT2-TIE1","Angpt2","Tie1","Cd36",0.0113461538461538,0.894,0.460766709453119,0.944513257209212,0.905346153846154,0.431564973171433,0.9533191407006
"ANGPT4-TEK","Angpt4","Tek","Kcnd2",7.69230769230855e-05,0.998653846153846,0.96801445866773,0.998606541513451,0.998576923076923,0.981052040815844,0.998490419972905
"ANGPT4-TIE1","Angpt4","Tie1","Nrxn3",0.00161538461538469,0.996807692307692,0.944359855538238,0.997309850977356,0.998423076923077,0.980954708968752,0.998606541513451
"ANGPTL1-TEK","Angptl1","Tek","Tnfrsf21",0.00473076923076921,0.648230769230769,0.35114714915835,0.914960325140314,0.652961538461538,0.228574702507818,0.934255854461003
"ANGPTL2-TIE1","Angptl2","Tie1","Scn8a",0.00769230769230778,0.818307692307692,0.405505463507138,0.907954325527385,0.826,0.257853423626724,0.959996129281982
"ANGPTL3-ITGA5","Angptl3","Itga5","Lrp5",0.00461538461538469,0.839961538461538,0.288359046565358,0.987826591832785,0.844576923076923,0.410702357396618,0.984942906909232
"ANGPTL3-ITGAV","Angptl3","Itgav","Plxnd1",0.00057692307692303,0.899384615384615,0.694215859077773,0.982601122508225,0.898807692307692,0.662514207919519,0.985988000774144
"ANGPTL3-ITGB3","Angptl3","Itgb3","Oprl1",0.0161538461538462,0.7315,0.295080495237436,0.95451906328624,0.715346153846154,0.0837122322894897,0.969924520998645
"ANGPTL4-TIE1","Angptl4","Tie1","Sdc4",0.046,0.668923076923077,0.467571670949819,0.875788658796207,0.622923076923077,0.369658348622587,0.854073930714148
"ANXA1-DYSF","Anxa1","Dysf","Vangl1",0.000499999999999945,0.746384615384615,0.323055985040508,0.882310818656861,0.746884615384615,0.429283038736845,0.859512289529708
"ANXA1-EGFR","Anxa1","Egfr","Cdh2",0.0312692307692308,0.613230769230769,0.31184391929451,0.849003290110316,0.581961538461538,0.12631425866666,0.87484033288175
"APLN-APLNR","Apln","Aplnr","Asgr1",0.003,0.886692307692308,0.490269102637919,0.921908263982969,0.889692307692308,0.124455154261857,0.965260305786723
"APOB-CALCR","Apob","Calcr","Gpr182",0.0344615384615384,0.631423076923077,0.317084728563736,0.982117282755951,0.665884615384615,0.222874125407378,0.964892587574995
"APOB-ITGAM","Apob","Itgam","Htr2c",0.0156153846153846,0.515346153846154,0.139949974366136,0.953880394813238,0.530961538461538,0.0159079214280896,0.962628217534353
"APOB-ITGB2","Apob","Itgb2","Il2rg",0.0201923076923077,0.610346153846154,0.312796845605693,0.972130830269015,0.590153846153846,0.0438077937614973,0.960615444164893
"APOB-LDLR","Apob","Ldlr","Tek",0.00461538461538469,0.852807692307692,0.537094054182914,0.98047222759822,0.857423076923077,0.538823877361736,0.985755757693052
"APOB-LRP2","Apob","Lrp2","Mst1r",0.0238461538461539,0.577115384615385,0.0933655067371644,0.953280433520418,0.600961538461538,0.159971707371681,0.963150764466809
"APOB-LRP6","Apob","Lrp6","Lifr",0.00280769230769229,0.880538461538461,0.649880504824298,0.984613895877685,0.877730769230769,0.645734621010619,0.978053028836849
"APOB-LRP8","Apob","Lrp8","Notch4",0.0168076923076923,0.754615384615385,0.188315984907802,0.985175149990323,0.771423076923077,0.17308953416853,0.983801045093865
"APOB-LSR","Apob","Lsr","Cftr",0.00580769230769229,0.796923076923077,0.319823810880255,0.981439907102768,0.791115384615385,0.242626820569076,0.98732339849042
"APOD-LEPR","Apod","Lepr","Itga10",0.0032692307692308,0.804538461538462,0.665775269661493,0.929243274627443,0.807807692307692,0.385888472308945,0.915792529514225
"APOE-CHRNA4","Apoe","Chrna4","Il10rb",0.00149999999999995,0.996423076923077,0.846372491133063,0.995239016837623,0.997923076923077,0.935340887688056,0.996651828914264
"APOE-LDLR","Apoe","Ldlr","Sirpa",0.000500000000000056,0.993730769230769,0.891690713368838,0.990265144184246,0.994230769230769,0.929921011988123,0.990884459067157
"APOE-LRP1","Apoe","Lrp1","Nrp1",0.0521538461538461,0.878076923076923,0.841281285897663,0.905089994193923,0.930230769230769,0.753786057810033,0.929243274627443
"APOE-LRP2","Apoe","Lrp2","Gpr182",3.84615384615428e-05,0.999230769230769,0.950282975918667,0.998780723824269,0.999192307692308,0.899640351592153,0.998838784594542
"APOE-LRP5","Apoe","Lrp5","Met",0.000230769230769146,0.994730769230769,0.929099340947936,0.992065028062706,0.9945,0.919060658440828,0.991890845751887
"APOE-LRP8","Apoe","Lrp8","Acvr2b",0,0.997307692307692,0.981532100842006,0.996477646603445,0.997307692307692,0.888275353708671,0.995122895297078
