"mechanism","dominance","r2_dominant_parent","R2_linear_both","gain"
"A2M-LRP1",0.868384615384615,0.568776426016725,0.598236732637192,0.0294603066204663
"ACE-AGTR2",0.989384615384615,0.583101147574059,0.584024357563872,0.000923209989813101
"ACE-BDKRB2",0.706423076923077,0.218014310543247,0.274511835563199,0.056497525019952
"ADAM10-AXL",0.718346153846154,0.460303030994218,0.562976339417041,0.102673308422823
"ADAM10-EPHA3",0.826961538461539,0.425229589655093,0.499118344358841,0.0738887547037483
"ADAM12-ITGA9",0.755346153846154,0.407321457892766,0.568898227951608,0.161576770058842
"ADAM12-ITGB1",0.956346153846154,0.814972586566209,0.83646163789089,0.0214890513246806
"ADAM12-SDC4",0.619384615384615,0.325164825049968,0.429288113884833,0.104123288834866
"ADAM15-ITGA5",0.623576923076923,0.256525157672168,0.341775633030227,0.0852504753580584
"ADAM15-ITGA9",0.943384615384615,0.476387499750058,0.507757150444263,0.0313696506942056
"ADAM15-ITGAV",0.877423076923077,0.372252780931597,0.435724659736886,0.0634718788052894
"ADAM15-ITGB1",0.992884615384615,0.768541915903533,0.777600444377449,0.00905852847391597
"ADAM15-ITGB3",0.871807692307692,0.195366328442623,0.226475991423804,0.0311096629811808
"ADAM17-ERBB4",0.580538461538462,0.32409667570806,0.371841017833682,0.0477443421256226
"ADAM17-ITGA5",0.720115384615385,0.285741956882737,0.383861800072766,0.098119843190029
"ADAM17-ITGB1",0.992346153846154,0.889264450428765,0.892872704762762,0.00360825433399647
"ADAM17-NOTCH1",0.767346153846154,0.420552190932072,0.474204085367629,0.0536518944355571
"ADAM2-CD9",0.9995,0.999959715011273,0.999959726466145,1.14548717178309e-08
"ADAM2-ITGA6",0.986269230769231,0.997328930292248,0.997354436886988,2.55065947406541e-05
"ADAM2-ITGA9",1,1,1,0
"ADAM2-ITGB1",1,1,1,0
"ADAM23-ITGA5",0.586961538461538,0.162349416480802,0.296041487379121,0.133692070898319
"ADAM23-ITGB3",0.806076923076923,0.159198005276403,0.197560518379715,0.0383625131033116
"ADAM28-ITGA4",0.988,0.158948969606698,0.160375364815191,0.00142639520849264
"ADAM9-ITGA3",0.9295,0.350482779921917,0.388505122887939,0.0380223429660222
"ADAM9-ITGA6",0.692115384615385,0.302001148259481,0.428550145134592,0.126548996875111
"ADAM9-ITGAV",0.821423076923077,0.429104966297604,0.508752686232878,0.0796477199352741
"ADAM9-ITGB1",0.991269230769231,0.869442184816509,0.873906971402741,0.00446478658623228
"ADAM9-ITGB5",0.861884615384615,0.503144840127149,0.551374228065928,0.0482293879387792
"ADCYAP1-ADCYAP1R1",0.983884615384615,0.925314024337382,0.930362747626167,0.00504872328878569
"ADCYAP1-VIPR1",0.632230769230769,0.18832164305407,0.211692297622279,0.0233706545682092
"ADCYAP1-VIPR2",0.7935,0.119695262796055,0.135204090129108,0.0155088273330524
"ADM-CALCR",0.864076923076923,0.0630874383711313,0.380748259847009,0.317660821475877
"ADM-CALCRL",0.984538461538462,0.310620504329499,0.312509387685865,0.00188888335636606
"ADM-GPR182",0.876846153846154,0.0738036921795313,0.0889161689655347,0.0151124767860034
"ADM-RAMP2",0.998576923076923,0.699150097904347,0.699632485291701,0.000482387387353844
"AGRN-ATP1A3",0.885192307692308,0.6879250230015,0.752321955562032,0.0643969325605317
"AGRN-LRP4",0.979384615384615,0.700353137724708,0.709735871810635,0.00938273408592638
"AGRN-MUSK",0.987576923076923,0.789546994277604,0.790783270049526,0.00123627577192209
"AGRP-MC4R",0.999692307692308,0.952452304411445,0.952505246592939,5.29421814946529e-05
"AGRP-SDC3",0.925038461538461,0.770982661495368,0.785761920961666,0.0147792594662975
"AGT-AGTR2",0.847423076923077,0.459865406129575,0.462225986125608,0.00236057999603284
"AGT-LRP2",0.867076923076923,0.15880376098215,0.16007523106505,0.00127147008289979
"AGT-MAS1",0.933461538461538,0.0926442463159008,0.107146212644021,0.0145019663281198
"AHSG-INSR",0.726769230769231,0.302441352367861,0.302529577269051,8.82249011898151e-05
"ALB-LRP2",0.999730769230769,0.977285773662953,0.977289072332316,3.29866936388257e-06
"ALOX5AP-ALOX5",0.986461538461539,0.502180555512342,0.503470088416101,0.00128953290375899
"ANGPT1-ITGA5",0.507730769230769,0.156519425115497,0.320033844308731,0.163514419193234
"ANGPT1-ITGB1",0.989769230769231,0.801733939973167,0.810009470558552,0.00827553058538544
"ANGPT1-TEK",0.758692307692308,0.288945839745518,0.404292613633873,0.115346773888355
"ANGPT1-TIE1",0.541192307692308,0.299581084118235,0.439584376316572,0.140003292198337
"ANGPT2-TEK",0.940538461538462,0.477532826756315,0.500383067211562,0.0228502404552471
"ANGPT2-TIE1",0.894,0.402867928162135,0.460766709453119,0.0578987812909839
"ANGPT4-TEK",0.998653846153846,0.967919826795378,0.96801445866773,9.46318723521467e-05
"ANGPT4-TIE1",0.996807692307692,0.943952570116952,0.944359855538238,0.000407285421285986
"ANGPTL1-TEK",0.648230769230769,0.177730350260235,0.35114714915835,0.173416798898115
"ANGPTL2-TIE1",0.818307692307692,0.346590711630787,0.405505463507138,0.0589147518763514
"ANGPTL3-ITGA5",0.839961538461538,0.280659449386935,0.288359046565358,0.00769959717842278
"ANGPTL3-ITGAV",0.899384615384615,0.694192715371359,0.694215859077773,2.31437064140971e-05
