"mechanism","ligand","receptor","frac_from_ligand","dominance","dominant","r_dominant","r_other","max_r_any_input_gene","nearest_gene"
"A2M-LRP1","A2m","Lrp1",0.868384615384615,0.868384615384615,"ligand",0.754172676524896,0.193070945275304,0.754172676524899,"A2m"
"ACE-AGTR2","Ace","Agtr2",0.989384615384615,0.989384615384615,"ligand",0.763610599437998,0.0300396462700039,0.763610599438003,"Ace"
"ACE-BDKRB2","Ace","Bdkrb2",0.293576923076923,0.706423076923077,"receptor",0.466920025853729,0.270964844940651,0.491913074438697,"Tlr1"
"ADAM10-AXL","Adam10","Axl",0.281653846153846,0.718346153846154,"receptor",0.678456358945967,0.407147164866614,0.67845635894597,"Axl"
"ADAM10-EPHA3","Adam10","Epha3",0.173038461538462,0.826961538461539,"receptor",0.652096303972882,0.352354361798129,0.652096303972886,"Epha3"
"ADAM12-ITGA9","Adam12","Itga9",0.755346153846154,0.755346153846154,"ligand",0.638217406447651,0.538151391621297,0.638217406447655,"Adam12"
"ADAM12-ITGB1","Adam12","Itgb1",0.956346153846154,0.956346153846154,"ligand",0.902758321238973,0.457210943294388,0.902758321238967,"Adam12"
"ADAM12-SDC4","Adam12","Sdc4",0.380615384615385,0.619384615384615,"receptor",0.570232255357383,0.383051110140533,0.57023225535738,"Sdc4"
"ADAM15-ITGA5","Adam15","Itga5",0.376423076923077,0.623576923076923,"receptor",0.506483126739844,0.327826491430374,0.506483126739844,"Itga5"
"ADAM15-ITGA9","Adam15","Itga9",0.943384615384615,0.943384615384615,"ligand",0.690208301710475,0.250542559733766,0.690208301710472,"Adam15"
"ADAM15-ITGAV","Adam15","Itgav",0.877423076923077,0.877423076923077,"ligand",0.610125217419831,0.31957400631433,0.610125217419835,"Adam15"
"ADAM15-ITGB1","Adam15","Itgb1",0.992884615384615,0.992884615384615,"ligand",0.876665224531881,0.246206121745175,0.876665224531884,"Adam15"
"ADAM15-ITGB3","Adam15","Itgb3",0.128192307692308,0.871807692307692,"receptor",0.44200263397702,0.187009666956226,0.442002633977019,"Itgb3"
"ADAM17-ERBB4","Adam17","Erbb4",0.580538461538462,0.580538461538462,"ligand",0.569294893449836,0.246053165734527,0.569294893449833,"Adam17"
"ADAM17-ITGA5","Adam17","Itga5",0.279884615384615,0.720115384615385,"receptor",0.534548367206128,0.360712344899179,0.534548367206129,"Itga5"
"ADAM17-ITGB1","Adam17","Itgb1",0.992346153846154,0.992346153846154,"ligand",0.943008192132372,0.268958407003189,0.943008192132369,"Adam17"
"ADAM17-NOTCH1","Adam17","Notch1",0.767346153846154,0.767346153846154,"ligand",0.648499954458034,0.2909629861658,0.648499954458033,"Adam17"
"ADAM2-CD9","Adam2","Cd9",0.9995,0.9995,"ligand",0.999979857302773,0.230808562984914,0.999979857302775,"Adam2"
"ADAM2-ITGA6","Adam2","Itga6",0.986269230769231,0.986269230769231,"ligand",0.998663572126393,0.261243654564459,0.998663572126392,"Adam2"
"ADAM2-ITGA9","Adam2","Itga9",1,1,"ligand",1,0.343035637794235,1,"Adam2"
"ADAM2-ITGB1","Adam2","Itgb1",1,1,"ligand",1,0.395804992108171,1,"Adam2"
"ADAM23-ITGA5","Adam23","Itga5",0.586961538461538,0.586961538461538,"ligand",0.402926068256699,0.38318477084603,0.409537421040091,"Cxcr5"
"ADAM23-ITGB3","Adam23","Itgb3",0.193923076923077,0.806076923076923,"receptor",0.398996247195889,0.200580176565144,0.398996247195886,"Itgb3"
"ADAM28-ITGA4","Adam28","Itga4",0.988,0.988,"ligand",0.398684047344132,0.0298802760063824,0.426083970850956,"Scgb3a2"
"ADAM9-ITGA3","Adam9","Itga3",0.0705,0.9295,"receptor",0.592015861208056,0.244601754115882,0.592015861208055,"Itga3"
"ADAM9-ITGA6","Adam9","Itga6",0.692115384615385,0.692115384615385,"ligand",0.549546311296401,0.418692931284734,0.549546311296401,"Adam9"
"ADAM9-ITGAV","Adam9","Itgav",0.821423076923077,0.821423076923077,"ligand",0.655061040131074,0.374929078347274,0.655061040131074,"Adam9"
"ADAM9-ITGB1","Adam9","Itgb1",0.991269230769231,0.991269230769231,"ligand",0.932438837037856,0.271652320135675,0.932438837037873,"Adam9"
"ADAM9-ITGB5","Adam9","Itgb5",0.861884615384615,0.861884615384615,"ligand",0.709327033269668,0.308069278208672,0.709327033269671,"Adam9"
"ADCYAP1-ADCYAP1R1","Adcyap1","Adcyap1r1",0.983884615384615,0.983884615384615,"ligand",0.961932442709664,0.462843551676416,0.96193244270966,"Adcyap1"
"ADCYAP1-VIPR1","Adcyap1","Vipr1",0.367769230769231,0.632230769230769,"receptor",0.433960416459923,0.158215583995761,0.433960416459924,"Vipr1"
"ADCYAP1-VIPR2","Adcyap1","Vipr2",0.7935,0.7935,"ligand",0.345970031644441,0.116668594940095,0.49754454700506,"Calm2"
"ADM-CALCR","Adm","Calcr",0.864076923076923,0.864076923076923,"ligand",0.25117212896962,0.574419561722688,0.578706814269832,"Mpl"
"ADM-CALCRL","Adm","Calcrl",0.984538461538462,0.984538461538462,"ligand",0.557333387057961,0.0456863301174964,0.557333387057962,"Adm"
"ADM-GPR182","Adm","Gpr182",0.876846153846154,0.876846153846154,"ligand",0.271668349609466,0.122679430453788,0.320327646252019,"Gucy2c"
"ADM-RAMP2","Adm","Ramp2",0.998576923076923,0.998576923076923,"ligand",0.83615195862017,0.0446420946485523,0.836151958620164,"Adm"
"AGRN-ATP1A3","Agrn","Atp1a3",0.114807692307692,0.885192307692308,"receptor",0.829412456502493,0.49756709462887,0.835720159002934,"Shank1"
