tag,contam,n_clusters,elsa_d50,elsa_d100
observed,1,21,0.0496416915714052,0.0412529469045506
shuffle1,0,21,0.0661118866134592,0.0538251154951821
shuffle2,0,21,0.0561407829878635,0.0470486353197593
shuffle3,0,24,0.0719935752802932,0.0587508931878873
shuffle4,0,24,0.0645039028648113,0.0529865505013833
shuffle5,0,21,0.0725633613335348,0.0607682100779725
shuffle6,0,23,0.0650278808610642,0.0531626925148756
shuffle7,0,23,0.05912202812756,0.0492997619767395
shuffle8,0,23,0.084480574813384,0.0707542994035276
shuffle9,0,25,0.0668952145997961,0.0553286849413925
shuffle10,0,25,0.0641440623608005,0.0527801527511576
shuffle11,0,22,0.0606315275714203,0.0499807373961251
shuffle12,0,22,0.0646540457173517,0.0538955712892583
shuffle13,0,24,0.0592611373213238,0.0491035439953058
shuffle14,0,24,0.0561639191130542,0.0467770964215284
shuffle15,0,22,0.0606018174355464,0.0509929812645073
shuffle16,0,22,0.0645090781440314,0.0533751268057069
shuffle17,0,24,0.0673313058872565,0.0562624941259236
shuffle18,0,21,0.0646331257481129,0.052657045530513
shuffle19,0,20,0.0737039637375059,0.0601804209243243
shuffle20,0,23,0.0682737072800397,0.0562540295090337
shuffle21,0,23,0.0676881065248747,0.0559005819827801
shuffle22,0,25,0.0686442357650777,0.0566459792994781
shuffle23,0,21,0.0632534983528046,0.0523807528335331
shuffle24,0,23,0.0649965363516542,0.0530520482505519
shuffle25,0,22,0.0719243140341864,0.0589546879831621
shuffle26,0,21,0.0595435347650679,0.0493601611421425
shuffle27,0,23,0.0568816861901717,0.0465951298138896
shuffle28,0,22,0.0675267939197449,0.0557070084119768
shuffle29,0,23,0.0757560617815503,0.0620399081451642
shuffle30,0,23,0.0685288018907938,0.0570172375885332
shuffle31,0,20,0.064314241178175,0.0532360440933798
shuffle32,0,23,0.0688938751710901,0.0564453816141604
shuffle33,0,22,0.0775049199872891,0.064057423396164
shuffle34,0,22,0.0608652470636181,0.049879607793545
shuffle35,0,22,0.0684671395464767,0.0562059484825781
shuffle36,0,23,0.072363017682423,0.0596086995777207
shuffle37,0,20,0.0671538977492553,0.0554096745835017
shuffle38,0,21,0.0633923923789028,0.0517854446431647
shuffle39,0,22,0.0623452603814565,0.0511270577993462
shuffle40,0,21,0.06998727935582,0.0577679903078252
shuffle41,0,21,0.0645455732308305,0.0536436831902689
shuffle42,0,25,0.0687098542425026,0.056748150259381
shuffle43,0,24,0.0637118689333933,0.0527924732712051
shuffle44,0,20,0.0681493966005885,0.0559154135693412
shuffle45,0,24,0.0706919842378954,0.0581686806840909
shuffle46,0,23,0.0626477383028205,0.051535056356822
shuffle47,0,24,0.0658872403057549,0.0554400920755803
shuffle48,0,21,0.0779366491063857,0.0646608579397254
shuffle49,0,24,0.0530099647644521,0.0442587370252905
shuffle50,0,22,0.0740801794543741,0.061788324371991
shuffle51,0,22,0.067228407589497,0.0549038208869974
shuffle52,0,23,0.0672055389380892,0.0556894896995957
shuffle53,0,22,0.0688930966051235,0.0562377378720553
shuffle54,0,24,0.0676487457854611,0.0561320738748884
shuffle55,0,24,0.0620025374093395,0.0516286090570618
shuffle56,0,22,0.0590234154480355,0.0490467152397548
shuffle57,0,22,0.0615819298689129,0.0507366668639683
shuffle58,0,23,0.0650082946705,0.0545731167998104
shuffle59,0,21,0.0649840188588981,0.0533088529010098
shuffle60,0,24,0.063588064866185,0.0537278478083775
shuffle61,0,20,0.0652209231344436,0.053804930509349
