tag,n_clusters,elsa_d50,elsa_d100
observed,20,0.0572180035055286,0.0471677795865063
shuffle1,20,0.0671396570537275,0.0551197887356787
shuffle2,22,0.0673223796053725,0.0555723246578484
shuffle3,25,0.0685013457544303,0.0574314739471766
shuffle4,24,0.0595129317228822,0.0497440517655261
shuffle5,25,0.0574084357138143,0.0490044079000266
shuffle6,26,0.0749673841671353,0.0630094279979329
shuffle7,19,0.0587706033839509,0.0482046518275592
shuffle8,24,0.067559012034052,0.0552621230544818
shuffle9,20,0.0633399957397855,0.0519461213823519
shuffle10,22,0.0674378218129592,0.056117477632674
shuffle11,23,0.0666529453302965,0.0556902372573796
shuffle12,25,0.0734327259764814,0.0613720157393158
shuffle13,25,0.0620093828798247,0.0512418231634488
shuffle14,21,0.0605109737799594,0.0495336808698947
shuffle15,24,0.0696488371210841,0.0570151644592566
shuffle16,22,0.0775229695243622,0.0645363871692381
shuffle17,25,0.0682484083867053,0.0575553181205584
shuffle18,22,0.0693836798288655,0.0580994709502971
shuffle19,23,0.0685566219201628,0.0564979231738366
shuffle20,26,0.0624299626025177,0.0521967734324455
shuffle21,21,0.0623489039994778,0.0511148551411693
shuffle22,22,0.0674406509691944,0.0560969468789942
shuffle23,23,0.0644979429444012,0.0537574037128824
shuffle24,25,0.0779832181393925,0.0650162389054836
shuffle25,23,0.0755373081120972,0.0629075460323811
shuffle26,21,0.0716803230696731,0.059037604421093
shuffle27,20,0.0573165142754172,0.0464288936710188
shuffle28,25,0.0757282639025162,0.0628925125321011
shuffle29,21,0.0657105533917007,0.0533610732794697
shuffle30,22,0.06436299191626,0.0527032529343537
shuffle31,21,0.0669749189146807,0.0547244363402852
shuffle32,23,0.0708276443706287,0.0579788056009401
shuffle33,23,0.0657452401423981,0.0539240635228846
shuffle34,22,0.0608280067175992,0.0509932218951434
shuffle35,19,0.0717464822518392,0.0587571096507273
shuffle36,23,0.066618573825954,0.0546228831048217
shuffle37,23,0.0684190104141943,0.0569234613365901
shuffle38,22,0.0607946038236411,0.0506449826322389
shuffle39,22,0.0681704742099542,0.0567036929678344
shuffle40,23,0.0585581675174132,0.0485725920730189
shuffle41,24,0.0708986133647293,0.0582395858031633
shuffle42,20,0.0657759497254783,0.0531338217794599
shuffle43,23,0.0606741602333782,0.0496914189515076
shuffle44,22,0.0625224830324617,0.0517366722017824
shuffle45,24,0.0744824070219068,0.0617669342867173
shuffle46,24,0.069731956078715,0.057734085176102
shuffle47,23,0.0624744843177649,0.0513734331536479
shuffle48,21,0.0679114686513122,0.0561091874009338
shuffle49,22,0.0615465058394759,0.0512026276799916
shuffle50,22,0.0570587717969722,0.0476849694626851
shuffle51,24,0.0605220496947564,0.0499493681004036
shuffle52,23,0.0631462320379397,0.0516255143194711
shuffle53,21,0.0679512675267044,0.0569654855878748
shuffle54,25,0.068501282885881,0.0565267810282499
shuffle55,23,0.0642898512682601,0.0527036255016215
shuffle56,22,0.0690491748957446,0.0568033176722136
shuffle57,23,0.0730683881866942,0.0605460928318887
shuffle58,22,0.0642340476929515,0.0530609861440514
shuffle59,22,0.0670668481965942,0.0548212015578795
shuffle60,20,0.0635981707594453,0.0519305289275976
shuffle61,22,0.0658658411569387,0.0538903323344666
shuffle62,21,0.0753418789718049,0.06287420871805
shuffle63,22,0.0574101884890722,0.047776364775108
shuffle64,24,0.0615791558578968,0.0514269260161759
shuffle65,25,0.0588865675908401,0.0489939536809143
shuffle66,23,0.0631416724327494,0.0522736729627601
shuffle67,23,0.0673126661167756,0.0557651770283614
shuffle68,20,0.0605239969464559,0.0496147150868545
shuffle69,21,0.0658235288190124,0.0541706023959136
shuffle70,21,0.0646779662482591,0.0539412358155513
shuffle71,22,0.0608719807318954,0.0504129748924051
shuffle72,24,0.0636353942560746,0.0530349483347592
shuffle73,22,0.0560430409516434,0.0465025373968288
shuffle74,22,0.063938562379541,0.05229485355716
shuffle75,22,0.0659085368616285,0.0540792166331156
shuffle76,23,0.0657402397779389,0.0550658270445128
shuffle77,22,0.05948534053796,0.0495832674073519
shuffle78,22,0.059833658608991,0.0497772379391356
shuffle79,22,0.0636858706154432,0.0522753947307551
shuffle80,21,0.0634947196958942,0.0528594519431152
shuffle81,24,0.0662434193445348,0.0549661579876319
shuffle82,22,0.0658154060499572,0.0547428457737783
shuffle83,20,0.0683364396069549,0.0562606334808589
shuffle84,23,0.0671952193044779,0.0547070432852014
shuffle85,22,0.0583757815377867,0.0481589498206114
shuffle86,22,0.0623597483503748,0.0503699476838721
shuffle87,24,0.0669750434567067,0.0555242146392164
shuffle88,26,0.0664529751207404,0.0554588950247534
shuffle89,21,0.052559106670163,0.0434614158090908
shuffle90,20,0.0586031229458903,0.0486818548732955
shuffle91,25,0.0732833755832629,0.0609126229172394
shuffle92,22,0.0681136664840593,0.0556945711104121
shuffle93,22,0.0703144278660398,0.0580380891867521
shuffle94,26,0.0752000656224786,0.0623413737902585
shuffle95,23,0.0693013870399848,0.0567187987713144
shuffle96,25,0.0642247683148962,0.0531016294280918
shuffle97,20,0.0660949516905043,0.0547117854479617
shuffle98,23,0.0582530461223978,0.047865677171361
shuffle99,23,0.0755142835905324,0.0626799399178127
