x,y,annotation
15025,11525,Spinal cord
15075,11525,Spinal cord
15125,11525,Spinal cord
15175,11525,Spinal cord
15225,11525,Spinal cord
15275,11525,Spinal cord
15325,11525,Spinal cord
15375,11525,Spinal cord
15425,11525,Spinal cord
15475,11525,Spinal cord
15525,11525,Spinal cord
15575,11525,Spinal cord
15625,11525,Spinal cord
15675,11525,Spinal cord
15725,11525,Spinal cord
15775,11525,Spinal cord
15825,11525,Spinal cord
15875,11525,Spinal cord
15925,11525,Spinal cord
15975,11525,Spinal cord
16025,11525,Spinal cord
16075,11525,Spinal cord
16125,11525,Meninges
16175,11525,Meninges
16225,11525,Meninges
16275,11525,Meninges
16325,11525,Meninges
16375,11525,Meninges
16425,11525,Meninges
16475,11525,Meninges
16525,11525,Meninges
16575,11525,Meninges
16625,11525,Meninges
16675,11525,Meninges
16725,11525,Meninges
16775,11525,Meninges
16825,11525,Meninges
16875,11525,Meninges
16925,11525,Meninges
16975,11525,Meninges
17025,11525,Meninges
17075,11525,Meninges
17125,11525,Meninges
17175,11525,Meninges
17225,11525,Meninges
17275,11525,Meninges
17325,11525,Meninges
17375,11525,Meninges
17425,11525,Meninges
17475,11525,Meninges
17525,11525,Meninges
17575,11525,Meninges
17625,11525,Meninges
17675,11525,Meninges
17725,11525,Meninges
17775,11525,Meninges
17825,11525,Meninges
17875,11525,Meninges
17925,11525,Meninges
17975,11525,Meninges
18025,11525,Meninges
18075,11525,Meninges
18125,11525,Meninges
18175,11525,Meninges
18225,11525,Meninges
18275,11525,Meninges
18325,11525,Meninges
18375,11525,Meninges
18425,11525,Meninges
18475,11525,Meninges
18525,11525,Meninges
18575,11525,Meninges
18625,11525,Meninges
18675,11525,Meninges
18725,11525,Meninges
18775,11525,Meninges
18825,11525,Meninges
18875,11525,Meninges
18925,11525,Meninges
18975,11525,Meninges
19025,11525,Meninges
19075,11525,Meninges
19125,11525,Meninges
19175,11525,Meninges
19225,11525,Meninges
19275,11525,Meninges
19325,11525,Meninges
